user_id,age,gender,workout_type,avg_daily_steps,subscription,app_rating,goal_achieved
1,42,F,C,7620,pro,4.0,0.0
2,38,M,Y,4025,free,4.0,0.0
3,43,M,C,8264,pro,5.0,1.0
4,48,M,S,7085,pro,4.0,0.0
5,38,F,D,3916,pro,1.0,0.0
6,38,M,Y,4197,free,3.0,0.0
7,48,F,S,5900,pro,5.0,0.0
8,44,M,C,8296,pro,3.0,1.0
9,36,F,C,6744,pro,1.0,0.0
10,42,M,Y,4777,free,,0.0
11,36,M,D,5426,pro,5.0,0.0
12,36,F,Y,5679,pro,3.0,0.0
13,40,F,S,5238,pro,4.0,0.0
14,28,M,Y,6809,free,3.0,0.0
15,29,F,S,10527,free,4.0,1.0
16,36,F,C,8868,pro,3.0,1.0
17,33,F,S,4764,free,3.0,0.0
18,41,F,D,4099,pro,5.0,0.0
19,34,M,C,8622,free,4.0,1.0
20,31,M,Y,5828,free,4.0,0.0
21,48,M,C,8754,free,4.0,1.0
22,38,F,S,5962,free,3.0,0.0
23,39,F,C,6523,pro,,0.0
24,30,M,S,6820,pro,3.0,0.0
25,36,M,Y,4083,pro,3.0,0.0
26,40,F,C,7539,free,3.0,0.0
27,32,F,Y,5503,pro,4.0,0.0
28,41,F,Y,3368,pro,5.0,0.0
29,35,M,D,5139,free,5.0,0.0
30,37,M,C,7346,free,4.0,0.0
31,35,M,S,6368,pro,3.0,0.0
32,50,F,C,7066,pro,4.0,0.0
33,39,M,D,6684,pro,5.0,0.0
34,33,F,D,4685,free,3.0,0.0
35,44,M,S,7787,pro,5.0,0.0
36,32,F,Y,5469,free,3.0,0.0
37,40,F,S,5424,free,5.0,0.0
38,27,F,S,9474,free,5.0,1.0
39,31,M,C,8044,free,5.0,1.0
40,40,M,Y,5193,free,,0.0
41,43,M,C,8211,free,1.0,1.0
42,40,F,Y,6352,pro,3.0,0.0
43,38,F,Y,5740,pro,3.0,0.0
44,37,F,Y,5025,free,,0.0
45,30,F,C,9905,pro,4.0,1.0
46,35,F,C,7187,free,,0.0
47,36,M,C,9573,free,4.0,1.0
48,45,F,S,6410,pro,,0.0
49,41,M,C,7919,free,2.0,0.0
50,28,M,D,7088,free,5.0,0.0
51,41,F,S,5712,free,3.0,0.0
52,37,M,C,8994,free,4.0,1.0
53,35,M,S,5072,pro,4.0,0.0
54,43,F,S,5725,free,5.0,0.0
55,45,M,S,5364,free,2.0,0.0
56,45,F,S,6344,free,4.0,0.0
57,34,M,D,4975,pro,,0.0
58,37,M,S,7067,free,3.0,0.0
59,41,M,D,5677,pro,4.0,0.0
60,45,M,D,4842,free,5.0,0.0
61,36,F,C,9731,free,5.0,1.0
62,38,M,D,6498,free,1.0,0.0
63,32,F,C,6081,free,3.0,0.0
64,32,F,Y,5745,free,3.0,0.0
65,44,F,S,5920,free,3.0,0.0
66,47,F,D,5640,pro,3.0,0.0
67,39,F,D,5990,free,3.0,0.0
68,45,M,Y,4298,pro,5.0,0.0
69,41,M,Y,3518,free,5.0,0.0
70,35,M,C,8782,free,1.0,1.0
71,41,F,C,8213,free,3.0,1.0
72,48,M,S,4449,pro,4.0,0.0
73,39,F,C,9983,free,3.0,1.0
74,48,F,Y,5499,free,4.0,0.0
75,23,M,C,11062,free,4.0,1.0
76,44,F,D,6092,free,,0.0
77,40,M,S,5706,free,4.0,0.0
78,37,M,Y,5104,free,4.0,0.0
79,40,F,C,7371,free,4.0,0.0
80,27,F,D,6586,free,3.0,0.0
81,38,F,D,5308,pro,4.0,0.0
82,41,M,S,5085,free,4.0,0.0
83,48,M,S,5034,free,,0.0
84,36,F,Y,4257,free,3.0,0.0
85,34,F,C,8177,pro,3.0,1.0
86,36,F,S,6574,free,5.0,0.0
