id rent,area,service fee
17793465,Williamsburg,174
57160857,Astoria,207
15996281,Upper West Side,222
15988549,Williamsburg,206
8038190,SoHo,14
15571010,Lower East Side,193
6095751,Washington Heights,235
57256405,Flatbush,208
3512092,Williamsburg,30
2506906,Bedford-Stuyvesant,64
3214402,Astoria,132
2611291,Williamsburg,152
18393263,Financial District,227
5313694,Williamsburg,161
17455458,Midtown,126
57313292,Glendale,171
27050566,Bedford-Stuyvesant,129
49931250,Chelsea,226
7077741,Elmhurst,92
6476838,Kips Bay,53
4383069,Park Slope,76
3148678,Flatbush,134
24494521,Harlem,31
15004903,Flatbush,227
1966204,Upper West Side,63
8497704,Williamsburg,72
2776981,Lower East Side,178
57027753,Bedford-Stuyvesant,182
47314453,Crown Heights,177
48232375,Harlem,15
10087223,East Harlem,75
23457302,Rosedale,240
43844904,Crown Heights,228
24961215,Crown Heights,48
25566535,Williamsburg,34
26662299,Washington Heights,114
17136781,Westerleigh,111
7756517,Bedford-Stuyvesant,106
5487669,Chelsea,26
7234594,Harlem,82
47469649,South Slope,190
50862980,Bushwick,207
45868531,East Harlem,98
49894246,Hell's Kitchen,210
47528193,West Village,116
2589199,East Flatbush,180
10186637,Bushwick,209
26156392,Upper East Side,98
3851756,Kensington,15
16938505,Hell's Kitchen,62
44652919,Glendale,171
53995626,East Flatbush,35
2384295,Financial District,85
17861398,Harlem,32
2211425,Prospect Heights,196
17317935,Harlem,212
11608810,Jamaica,105
46424145,East New York,152
44993136,Williamsburg,89
56501411,Bushwick,162
7143464,Morningside Heights,129
17255525,Bushwick,187
3586652,Williamsburg,235
48985160,East Village,203
14110177,East Village,86
11852926,East Harlem,141
46785901,Hell's Kitchen,83
24175292,Belmont,91
54739021,Cypress Hills,167
50914896,West Village,220
52287914,Upper East Side,183
50495701,East Flatbush,158
52671763,Gramercy,75
52121119,Bedford-Stuyvesant,235
51282176,Harlem,194
3391690,East Village,26
14787296,East Morrisania,60
16264699,Williamsburg,54
4560357,Gramercy,153
8243094,Fort Greene,121
8645168,Bushwick,226
47835824,Fort Greene,32
54592662,Bedford-Stuyvesant,237
21007851,SoHo,59
9873483,Greenpoint,26
52425989,South Slope,193
13038715,Bedford-Stuyvesant,140
19347085,Stapleton,206
1650841,Chelsea,44
52432064,Bushwick,80
24846336,East Harlem,169
23287193,Sunnyside,71
8326491,Bedford-Stuyvesant,197
9838136,Upper West Side,76
23461720,Port Morris,146
26934030,Fort Greene,79
16245368,Harlem,33
43289842,Sunnyside,234
18994718,Kips Bay,104
3574502,Park Slope,207
27450431,Bedford-Stuyvesant,192
56881945,Hell's Kitchen,135
18465062,Tompkinsville,32
24306187,Harlem,121
22455430,Bedford-Stuyvesant,66
7699630,Windsor Terrace,11
21593289,Prospect-Lefferts Gardens,173
53540530,Greenpoint,144
5154632,Crown Heights,37
13715282,Williamsburg,99
49669460,Astoria,105
18371723,Gowanus,99
19919268,Flatbush,217
10150186,Washington Heights,63
51644485,Crown Heights,66
8130977,Kips Bay,150
18639037,Windsor Terrace,23
57174664,Sunnyside,41
8702055,Williamsburg,112
20476539,Cypress Hills,175
23332482,Greenpoint,219
7488100,Upper East Side,204
23645084,Bedford-Stuyvesant,204
4633261,Red Hook,228
43180487,Jamaica,105
48389781,East Harlem,77
21972167,Lower East Side,65
22947529,Bedford-Stuyvesant,234
19339905,Forest Hills,123
5398196,Harlem,104
14085875,Williamsburg,86
50802779,Arverne,72
56730063,Midtown,45
6930829,East Village,39
24445366,Bushwick,157
4670265,Williamsburg,102
7841019,Bedford-Stuyvesant,36
50247718,Greenpoint,96
25763154,Ridgewood,85
26876039,Hell's Kitchen,120
49918547,Bedford-Stuyvesant,219
1744732,Tribeca,26
6354780,Kips Bay,27
1790020,Cobble Hill,99
24401182,Williamsburg,105
2639458,Williamsburg,199
56244039,East Harlem,119
6267517,Prospect Heights,182
43194295,Crown Heights,14
3029382,Chelsea,216
49589376,Flatbush,134
1610523,Lower East Side,85
4209094,Upper West Side,114
9404028,Chelsea,204
54692076,Bedford-Stuyvesant,64
12513477,Schuylerville,120
21977690,Lower East Side,59
11542534,Harlem,175
21802059,Wakefield,218
49433075,Harlem,44
24435425,Hell's Kitchen,174
47447557,Williamsburg,230
8170742,Bedford-Stuyvesant,79
25125800,Upper West Side,99
17029634,Greenpoint,28
56880289,Williamsburg,120
23419745,East Elmhurst,142
10404244,Kensington,92
24767357,Ozone Park,61
21636369,Midtown,193
44992031,Harlem,184
2254505,Greenpoint,239
20701877,Hell's Kitchen,126
23157403,Bedford-Stuyvesant,167
10651674,Bedford-Stuyvesant,128
53892346,Upper East Side,67
53579191,Upper East Side,133
55939722,Brighton Beach,57
3860593,Williamsburg,170
14341590,Cobble Hill,179
4990599,Midtown,205
43004303,Forest Hills,37
46223660,Astoria,151
8997535,Gowanus,207
20963667,Greenpoint,187
3409916,East Harlem,61
43325742,Bushwick,92
3190653,Nolita,116
9648145,Prospect-Lefferts Gardens,226
15670976,Upper East Side,230
27518364,Flatbush,149
18917396,Inwood,61
24532078,Midtown,177
23657787,Bushwick,118
48776943,Upper East Side,14
25412444,Hell's Kitchen,185
7467664,Upper West Side,48
6204002,Bushwick,87
5248523,Nolita,22
56184943,Harlem,28
4811654,Nolita,14
43226328,Washington Heights,11
17315726,Upper East Side,208
49015537,Williamsburg,234
17899507,Midtown,16
12205846,Fort Greene,225
3940677,Bedford-Stuyvesant,98
51405891,East Harlem,226
1742523,SoHo,38
3881028,Bushwick,41
11548609,Ridgewood,40
1870656,Woodside,208
9811626,Upper West Side,23
3618133,South Slope,58
24989382,Upper East Side,30
8502675,Lower East Side,168
51901304,Harlem,28
26094534,Crown Heights,131
21935715,Bedford-Stuyvesant,118
25265532,Chelsea,29
1743627,Harlem,124
8681068,Harlem,28
16894321,Williamsburg,72
19844707,SoHo,36
4977344,Midtown,26
48147873,Greenwich Village,26
20973056,Borough Park,231
18815220,East Village,120
19463068,Long Island City,108
3789899,Lower East Side,238
55727086,Hell's Kitchen,116
8522005,Astoria,99
14405105,Upper West Side,47
50231701,West Village,126
25046821,Financial District,145
44707044,Harlem,226
2437316,Upper East Side,118
19237730,East Flatbush,35
50034530,East New York,81
49855585,Bedford-Stuyvesant,24
47683389,Hell's Kitchen,12
4966298,Midtown,239
24305635,Brownsville,96
2682537,Upper West Side,196
20780856,Murray Hill,238
22933721,Queens Village,122
44264652,Williamsburg,184
56600825,Crown Heights,170
19683436,Bedford-Stuyvesant,218
22306861,East Village,134
50885624,East Elmhurst,233
55784525,Chelsea,170
26031020,Williamsburg,88
1206239,Bedford-Stuyvesant,234
7724484,Clinton Hill,207
3213850,Upper West Side,222
44508216,Fresh Meadows,26
9234472,Flatiron District,164
3326519,Hell's Kitchen,117
18344108,East Flatbush,230
4151655,Upper West Side,145
11601078,West Village,86
10295440,Lower East Side,79
20384857,Lower East Side,166
19322784,East Harlem,91
23161269,Queens Village,228
47606067,Corona,154
13973758,Prospect-Lefferts Gardens,114
1403410,Nolita,32
14157122,East Harlem,70
50524420,Greenpoint,231
43753222,Sunset Park,131
10391541,Upper East Side,75
23372248,Lower East Side,28
43433993,Bedford-Stuyvesant,103
7730007,Carroll Gardens,130
1992715,Greenpoint,30
26995888,Morris Heights,172
2553299,Nolita,233
15809604,Financial District,80
11854031,Bedford-Stuyvesant,20
43347282,St. Albans,120
3180712,Financial District,28
54221516,Upper West Side,161
3607087,East Flatbush,13
19022333,Tompkinsville,208
8455177,Jamaica,59
20035803,Canarsie,84
11570149,Midtown,95
9661952,Gowanus,36
10291574,Bedford-Stuyvesant,38
19560825,Upper West Side,128
25157281,Bedford-Stuyvesant,169
5426916,Fort Greene,151
20899600,Bedford-Stuyvesant,51
48276559,Midtown,93
24522688,Hell's Kitchen,69
49028792,Bedford-Stuyvesant,116
22882357,Bedford-Stuyvesant,212
6625407,East Village,20
44069690,Midtown,45
54977063,Bushwick,38
51729539,Flushing,160
49781577,Tottenville,220
56868690,Midtown,204
56241830,Theater District,77
16001252,Springfield Gardens,18
23635695,Upper West Side,70
2423509,Bedford-Stuyvesant,120
52283496,Upper West Side,234
53420129,Gramercy,88
3165800,Bedford-Stuyvesant,41
10145767,South Slope,103
5732890,Maspeth,33
12516791,Lower East Side,176
12906715,Woodside,40
54939506,Park Slope,20
4583554,Bushwick,213
51019833,Greenwich Village,194
44906425,Upper West Side,26
7368803,Canarsie,23
48346149,Harlem,91
12914447,Greenpoint,196
18387740,Upper West Side,58
45686272,Chinatown,180
18480526,Sunset Park,233
47391775,Ditmars Steinway,156
18753915,Prospect-Lefferts Gardens,40
56197093,Bedford-Stuyvesant,54
49372875,Forest Hills,30
9459258,Bushwick,216
44459614,Sunset Park,106
48144559,Bedford-Stuyvesant,121
46848311,Chinatown,27
47725916,Bedford-Stuyvesant,201
22285321,Midwood,121
46609718,Financial District,170
55102987,Hell's Kitchen,227
42829777,Hell's Kitchen,179
5906865,Williamsburg,83
2018120,Bedford-Stuyvesant,132
21660118,Cypress Hills,127
9687910,Sunset Park,69
43158395,East Harlem,97
3353582,Morningside Heights,20
2764278,Hell's Kitchen,24
44985403,Tribeca,228
7240117,Corona,126
5093879,Gramercy,20
54231458,Hell's Kitchen,96
48548843,Chelsea,66
5040306,Far Rockaway,237
20459970,Clifton,113
11750751,Upper West Side,11
20256171,Bedford-Stuyvesant,126
3753999,Chelsea,72
11881094,Hell's Kitchen,206
4013028,Kips Bay,171
16588347,Greenwich Village,132
21309959,Hell's Kitchen,51
25119725,Arverne,21
7840467,Williamsburg,236
3048160,East Village,13
18947220,Crown Heights,33
20778647,Astoria,164
21832435,East Flatbush,125
18583254,Flushing,205
10903523,Maspeth,55
49811401,Williamsburg,113
27284188,East Village,46
50206848,Hunts Point,170
21982661,Pelham Gardens,115
21308302,Morningside Heights,122
24783926,Bushwick,216
3413230,Woodhaven,240
9758605,Astoria,178
21494428,Harlem,197
27006934,Kips Bay,91
21369055,Sunset Park,189
27647050,Bedford-Stuyvesant,216
57076907,Sunset Park,182
20388171,East Village,24
21485038,Williamsburg,183
9472513,Bedford-Stuyvesant,182
24509986,Bedford-Stuyvesant,147
15172249,Concord,209
4790666,Mount Hope,209
18781530,Greenpoint,120
54488830,Sunnyside,100
54508712,Williamsburg,31
15346776,Bushwick,17
15379914,Washington Heights,31
8989251,Hell's Kitchen,194
24185785,Elmhurst,77
3551305,Greenpoint,199
26088459,Flushing,155
14379147,Boerum Hill,167
18407071,East Village,172
11468526,East Village,96
11199556,Bedford-Stuyvesant,55
45992799,South Slope,65
12879652,Hell's Kitchen,214
7549957,Flatbush,62
48723922,Upper West Side,194
22909420,Fort Greene,189
3809782,Hell's Kitchen,85
11261965,Harlem,145
4337228,Upper West Side,127
54220412,Upper West Side,155
14920401,Hell's Kitchen,168
9969031,Chelsea,193
1793334,Williamsburg,232
9202991,Bushwick,181
1899928,Kips Bay,134
2062857,Lower East Side,178
22775211,Crown Heights,26
15001036,Flatlands,67
23320884,Harlem,88
7506325,East Village,157
44032134,Chelsea,102
56266131,Bedford-Stuyvesant,103
18876526,Tribeca,192
23460616,Washington Heights,230
3085716,Jamaica,97
51031432,Bedford-Stuyvesant,27
13341375,Woodhaven,214
7218025,East Harlem,52
10123123,East Harlem,163
17819423,NoHo,187
4211856,Chelsea,167
6888854,Upper East Side,58
18403204,Williamsburg,43
25676443,Crown Heights,60
13519216,Upper West Side,207
4793428,Williamsburg,210
15377153,Harlem,41
47634787,Washington Heights,207
2129685,East Village,118
19634281,Flatbush,139
14302377,Murray Hill,105
2509115,St. Albans,195
26847319,Harlem,115
11522099,Flatbush,168
11189062,Long Island City,39
9767994,Crown Heights,121
2292613,Chelsea,27
19269211,Crown Heights,66
7791865,Chelsea,44
13724119,Williamsburg,29
26813077,Hell's Kitchen,153
49746229,Upper West Side,169
25652694,Hell's Kitchen,228
22162711,Midtown,164
43883013,East Village,205
53659275,Boerum Hill,57
48162785,Bushwick,165
12636640,Midtown,204
15027547,Longwood,199
4582449,Harlem,17
4753110,Upper West Side,76
6979431,Midwood,93
15265588,Lower East Side,93
50140019,Harlem,80
7398075,Bedford-Stuyvesant,229
56382114,Midtown,171
45592381,Bushwick,161
2706838,Bedford-Stuyvesant,119
55818768,St. Albans,140
55759672,East Village,38
4645964,Ditmars Steinway,118
44813638,East Village,33
26887085,Riverdale,48
14944702,Fresh Meadows,130
18421983,Clinton Hill,96
17694604,Lower East Side,199
10334101,Hell's Kitchen,56
25981865,Bedford-Stuyvesant,157
27251050,East Village,54
54269014,Rockaway Beach,169
16700464,College Point,47
19631520,Bedford-Stuyvesant,52
43033575,Sunnyside,198
7201456,Washington Heights,182
17142304,East Harlem,205
17748177,Hell's Kitchen,128
13704236,Jamaica,239
22827680,Harlem,214
48878566,Prospect-Lefferts Gardens,149
15669872,Upper West Side,74
45812749,Morningside Heights,36
24886102,East Elmhurst,226
55644793,Bedford-Stuyvesant,145
2335141,Astoria,54
25353348,Sheepshead Bay,62
16510472,East Harlem,194
23259026,Tompkinsville,150
11450852,Upper West Side,20
16272983,Windsor Terrace,111
52293437,Maspeth,140
48081597,Williamsburg,37
21925774,Midtown,170
25674786,Chelsea,74
5922329,Williamsburg,78
1623226,Harlem,235
2553851,Williamsburg,219
55360359,Bedford-Stuyvesant,159
14244938,Harlem,12
1062089,Gowanus,106
2020882,Greenpoint,217
11126100,West Village,55
3194519,Bedford-Stuyvesant,15
27092540,Upper East Side,166
2438973,Bedford-Stuyvesant,100
3958350,Upper West Side,126
19260374,Long Island City,195
24656897,Harlem,61
19229445,Prospect-Lefferts Gardens,233
22008067,DUMBO,110
18303238,Hell's Kitchen,75
11351990,Tribeca,76
9110205,Murray Hill,178
9009134,Chelsea,19
22204133,Harlem,75
43443382,Chelsea,96
5921224,Bedford-Stuyvesant,177
11758483,Hell's Kitchen,205
22970173,Murray Hill,85
44697655,East Elmhurst,196
8682172,Park Slope,179
6021743,South Slope,204
48985712,Flatbush,194
16815894,East New York,102
51358393,Bedford-Stuyvesant,182
22179832,Morningside Heights,60
15364450,Bedford-Stuyvesant,141
18562267,Springfield Gardens,209
2726721,Harlem,208
27352121,Borough Park,57
23207662,Upper East Side,176
54490486,Long Island City,223
19116776,Maspeth,173
16444749,Financial District,170
49835702,Bedford-Stuyvesant,70
8324834,East Harlem,187
22112451,Gramercy,118
5699200,Park Slope,141
44738525,Flushing,160
8336985,Upper West Side,68
13914110,Bensonhurst,159
5379970,Jamaica Estates,87
55457564,Harlem,82
4627738,Prospect-Lefferts Gardens,76
13271233,Maspeth,80
52138241,Mott Haven,222
20838847,East New York,98
13158564,Jamaica,65
8575578,Hell's Kitchen,87
21683866,Canarsie,36
13009995,Corona,206
14294092,Bedford-Stuyvesant,182
19020676,East Harlem,212
16200080,Columbia St,215
18866032,Hell's Kitchen,200
43910628,Chelsea,110
27170415,East Village,198
5586531,Prospect-Lefferts Gardens,14
43595264,Lower East Side,183
8676649,Williamsburg,72
53127962,Upper East Side,123
55709965,Elmhurst,62
52310558,Elmhurst,108
55973964,Cypress Hills,103
17895088,Midtown,188
26258015,Bedford-Stuyvesant,61
6400069,Williamsburg,194
10175039,Bedford-Stuyvesant,117
25888526,Ditmars Steinway,161
1656364,Upper West Side,105
17710620,East Elmhurst,203
26265747,Bay Ridge,156
8555143,Hell's Kitchen,167
9318974,Upper West Side,42
55381346,East New York,113
10712427,Midwood,123
10055742,Chelsea,199
19209010,Williamsburg,155
45274809,Williamsburg,113
3231523,Bedford-Stuyvesant,39
43633373,Midtown,231
2154538,Crown Heights,154
6099617,Springfield Gardens,81
6542010,Upper East Side,230
26723052,Upper West Side,11
49752857,Bedford-Stuyvesant,153
48445011,Crown Heights,238
8967159,Prospect Heights,228
55577965,East New York,143
45558691,Bushwick,142
48827755,Clinton Hill,207
3842367,Upper West Side,22
55753597,Flatbush,23
15590893,Williamsburg,231
18038686,University Heights,165
19354265,Hell's Kitchen,159
25491423,Hell's Kitchen,21
17918285,West Village,113
2471006,Washington Heights,210
49520339,Cambria Heights,61
24265317,Sunnyside,20
8985937,Williamsburg,96
53020264,East Harlem,159
24469115,Bedford-Stuyvesant,44
25406368,Bedford-Stuyvesant,12
19934732,Bushwick,150
57230999,Harlem,22
57114464,Gowanus,74
24699424,Upper West Side,236
2469902,SoHo,115
14061574,Carroll Gardens,226
56234650,Bedford-Stuyvesant,198
53973534,East Village,158
54234772,Cypress Hills,221
11803772,Flatbush,198
7011465,East Village,203
51367782,East Village,72
26949495,Midtown,50
26278450,Gramercy,38
22423396,Chelsea,185
4641545,East Harlem,220
22059983,Flushing,225
1631510,Williamsburg,240
4410684,Bushwick,57
51897438,Astoria,187
7882442,SoHo,148
22934274,SoHo,204
57020573,Upper East Side,77
45342189,Crown Heights,204
27396305,North Riverdale,147
55543723,Wakefield,73
17713382,Washington Heights,31
18211556,Midtown,133
46535710,Ditmars Steinway,166
4653696,Hell's Kitchen,70
5419736,Upper East Side,179
10383256,Hell's Kitchen,146
5109343,Upper West Side,16
20987968,Midtown,111
27007486,East New York,20
56659369,East Harlem,42
23551193,Sunnyside,118
3946752,SoHo,232
2195961,SoHo,19
3386167,Upper West Side,116
43974694,Chelsea,14
9513936,Chelsea,180
13177894,Upper West Side,41
47788326,Elmhurst,138
19451470,East Flatbush,119
50089760,Brighton Beach,153
53455476,Cypress Hills,77
17527257,Midtown,100
14939179,Bedford-Stuyvesant,100
24522136,Vinegar Hill,107
22916048,Cypress Hills,185
6604972,Williamsburg,125
4643755,Ditmars Steinway,116
2457199,Bedford-Stuyvesant,187
43029709,Harlem,44
11903738,Boerum Hill,157
3473431,Bushwick,208
1440415,Williamsburg,90
27396858,Ridgewood,46
20469359,Hell's Kitchen,124
8661737,Prospect-Lefferts Gardens,217
26687152,Financial District,64
12497461,Rego Park,215
5758848,Williamsburg,150
4164910,Williamsburg,140
21122177,Chelsea,86
46900228,Flatlands,80
47510519,Midtown,146
48015874,Clinton Hill,169
24749684,East Elmhurst,15
21868335,Williamsburg,143
3327071,East Village,124
1589536,Jackson Heights,227
13282279,East Village,170
17989532,Harlem,116
8166324,East Village,232
2124714,Greenpoint,209
22881805,Chelsea,91
48084359,Maspeth,133
24424931,Bushwick,222
22829337,Lower East Side,15
22523915,East Village,135
13361258,Greenpoint,89
57200070,Gramercy,157
7856484,Williamsburg,169
7289824,Washington Heights,169
19121747,Chinatown,157
6757959,Murray Hill,27
54699256,Washington Heights,96
53966906,Williamsburg,155
7592484,Bushwick,128
47900995,Crown Heights,40
48639420,Ridgewood,62
49610916,East Village,62
27001963,East Village,193
45052232,Grant City,210
1664648,East Village,25
51240201,Midtown,148
21019450,SoHo,66
19564691,Park Slope,57
8994774,Upper West Side,198
6290713,Bushwick,15
13668889,Bedford-Stuyvesant,158
23584331,Upper East Side,220
55647555,Bedford-Stuyvesant,117
23620783,Glendale,166
10846636,Harlem,94
24274153,Ridgewood,164
3152545,Clinton Hill,229
25842133,Theater District,218
24685065,Gowanus,84
7218577,East Village,24
4680759,Williamsbridge,231
22009171,St. Albans,237
22587429,Tribeca,155
7517924,Harlem,106
10293231,East Flatbush,105
53581401,Hell's Kitchen,83
12698498,Prospect Heights,143
51350109,Upper East Side,11
1389603,Arrochar,92
18445732,Lower East Side,77
1693368,Chelsea,31
48863654,Ditmars Steinway,223
9314556,Bedford-Stuyvesant,194
17377583,Tribeca,70
8369570,Midtown,199
44526442,Highbridge,209
48046802,Harlem,56
2223576,Williamsburg,161
27047804,Clinton Hill,98
21397223,Elmhurst,147
45649820,Lower East Side,146
3397766,Upper West Side,60
13357392,Long Island City,235
9770203,Ditmars Steinway,106
10992995,East New York,208
14621606,Arverne,209
48829964,Prospect Heights,21
48278768,Harlem,101
16422104,Arverne,207
55753044,East Flatbush,199
22712249,Harlem,20
55170920,Park Slope,184
24595040,East Elmhurst,106
24590621,Harlem,55
19455336,Williamsburg,78
45689034,East Flatbush,120
20088272,East Village,177
14321155,Williamsbridge,150
14100787,Woodside,236
53216330,Upper West Side,222
24941884,Chelsea,135
1630958,Civic Center,171
3832426,Greenwich Village,205
17620595,Bedford-Stuyvesant,129
56727301,Kensington,180
22581906,Washington Heights,235
3499389,Bedford-Stuyvesant,201
57137108,St. George,205
8906406,Bedford-Stuyvesant,56
8699846,Flatbush,45
2187124,Midtown,185
4034015,Williamsburg,41
20328522,East Harlem,146
23726272,Williamsburg,100
26285630,Kensington,103
47970585,Upper West Side,124
56678147,Ditmars Steinway,222
24558588,East Village,179
44794860,Crown Heights,225
18449598,Williamsburg,38
7466560,Harlem,22
16622037,Mill Basin,143
48378735,Lower East Side,140
49890380,Crown Heights,187
2165032,Williamsburg,20
3002871,Harlem,199
2520161,Greenpoint,57
2784713,Williamsburg,191
46774855,Crown Heights,173
22175966,Flushing,215
5564991,Bushwick,25
9992780,Gramercy,48
43308621,Nolita,236
2697449,Williamsburg,51
18329749,Midtown,77
47802686,Harlem,189
25272160,East Flatbush,234
9505099,Astoria,41
53351644,Jamaica,201
54612545,Jackson Heights,219
46640647,Westchester Square,68
17765850,Grant City,91
7652685,Parkchester,45
3962216,Greenpoint,92
48417396,East Village,37
15155680,Financial District,234
14618293,Woodhaven,128
21957255,Bedford-Stuyvesant,166
51799129,South Slope,86
17557633,Richmond Hill,200
25312477,Murray Hill,11
46909064,East Flatbush,106
2132999,Williamsburg,210
7094310,East Village,83
15672633,East Flatbush,238
15331864,East Village,206
20044088,Bedford-Stuyvesant,35
1751912,Washington Heights,60
5406481,SoHo,160
4671370,East Village,103
51440686,East Village,53
48159472,East Village,210
44356886,Upper East Side,36
43081073,Crown Heights,239
17358253,East Harlem,228
52439244,Kips Bay,196
8170190,Inwood,38
13964369,Greenpoint,14
3136528,Hell's Kitchen,164
25623975,Rosedale,119
52664030,Olinville,180
51135816,Upper West Side,39
24496730,Astoria,45
53579744,Astoria,174
9731542,Harlem,49
18849463,Williamsbridge,185
24699977,Harlem,151
4411236,Bedford-Stuyvesant,126
23218156,Flatbush,113
25751556,Hunts Point,197
11635873,Williamsburg,209
17225149,Midtown,80
5023737,Bedford-Stuyvesant,25
26747353,Midtown,24
45042290,Harlem,75
21163048,St. Albans,118
2541701,West Village,146
11461898,Sunnyside,198
13304923,Mott Haven,72
46773751,Lower East Side,225
2489785,Bushwick,225
8406574,Harlem,196
12689109,East Harlem,160
4659771,Hell's Kitchen,25
2651608,Sunnyside,90
3768911,Upper East Side,177
7789655,Harlem,58
22184250,St. George,111
11249815,West Village,186
49994212,Elmhurst,178
12379268,Harlem,231
3812543,Hell's Kitchen,160
44976567,Williamsburg,235
27030130,East New York,116
22328401,Lower East Side,112
25472092,Chinatown,16
