id rent,number of reviews
47529850,25.0
45861351,20.0
11725897,2.0
6834176,2.0
25778619,2.0
2545567,23.0
4041195,27.0
16522071,32.0
3442502,34.0
53356062,9.0
12375402,46.0
15563278,11.0
19070383,1.0
24806571,4.0
24089133,1.0
25750451,9.0
46623525,1.0
13752286,3.0
48712324,60.0
57145393,20.0
17771926,2.0
52392299,30.0
12985694,6.0
6666277,5.0
13685458,1.0
12589142,122.0
3921898,52.0
46805784,3.0
5066816,15.0
24961767,7.0
24411676,1.0
2983541,52.0
3194519,171.0
50941959,119.0
46133635,53.0
7696869,8.0
21730812,4.0
46200463,8.0
10895238,12.0
55584040,20.0
49989241,45.0
23625201,1.0
26517044,4.0
5101059,21.0
18227573,17.0
14272553,17.0
24939675,16.0
1745836,16.0
18310970,3.0
48660408,20.0
53516229,1.0
49401042,9.0
21000119,18.0
53781333,37.0
12023035,38.0
47815389,23.0
13301609,20.0
24051577,1.0
23367277,11.0
56515771,64.0
47590603,6.0
55930885,3.0
1074240,73.0
56658816,35.0
5414765,59.0
16951760,145.0
18283355,29.0
19975603,39.0
9882320,33.0
15276634,35.0
24188547,1.0
48065581,8.0
6624302,11.0
1449804,13.0
27066582,3.0
7300318,28.0
56543386,18.0
44835178,59.0
47880008,56.0
55964575,51.0
16790488,4.0
26306065,1.0
17768612,22.0
24007393,7.0
26502132,2.0
23901903,8.0
24915926,1.0
11637529,8.0
48191505,27.0
48304726,96.0
50714964,7.0
9035644,1.0
49382816,1.0
5477175,297.0
10830619,10.0
24341534,1.0
10414185,7.0
43857607,3.0
11314434,94.0
8933469,8.0
50837574,17.0
16177435,1.0
47503339,6.0
46529634,25.0
43563231,1.0
9660848,63.0
3554067,5.0
7105356,15.0
27401276,1.0
21649624,1.0
49920756,115.0
11538668,73.0
55605028,19.0
55611103,11.0
7143464,3.0
27009143,1.0
6365274,4.0
1120633,204.0
50063802,1.0
14244938,2.0
6333793,2.0
1019562,197.0
52419361,92.0
14084771,1.0
12653209,108.0
46898571,11.0
49216021,220.0
55052728,13.0
45744264,6.0
13141442,72.0
6772871,287.0
8112751,3.0
15226927,13.0
9587944,4.0
52629235,13.0
11758483,6.0
25758184,8.0
12834364,7.0
43599683,7.0
53120782,27.0
7326828,2.0
52500550,26.0
22879044,23.0
18435790,10.0
7466560,17.0
55311204,24.0
52792716,2.0
13588253,62.0
2599692,147.0
19252642,49.0
9784011,5.0
15599730,3.0
4545445,9.0
43703515,7.0
56666548,165.0
1289637,177.0
19147705,18.0
4764156,2.0
10149633,60.0
1392364,18.0
18924576,9.0
5740070,107.0
9709450,167.0
23234725,8.0
3711472,230.0
44362961,18.0
54074052,65.0
23819058,20.0
21094010,16.0
22302995,1.0
16977166,13.0
53373736,16.0
8658423,48.0
57037142,76.0
19885025,44.0
18453464,2.0
7382058,186.0
50829290,139.0
47527640,5.0
51393188,5.0
53355510,81.0
27146666,2.0
56411938,124.0
50057727,98.0
50824871,8.0
56652189,1.0
10945498,5.0
11540877,72.0
3661765,33.0
19301797,2.0
49585510,78.0
43700201,11.0
24426588,7.0
45101939,96.0
53198104,122.0
43581457,12.0
9351007,36.0
42827567,93.0
2376563,114.0
14002478,9.0
43617909,113.0
7782475,1.0
17798436,2.0
57019468,5.0
5594263,42.0
13922395,26.0
14584050,42.0
4943653,35.0
15638391,79.0
47684494,3.0
8676649,16.0
52673972,41.0
4098082,2.0
44889303,177.0
45786238,1.0
11139355,15.0
3905882,11.0
4172643,12.0
17062220,61.0
3513196,22.0
47655222,33.0
24081953,14.0
5750564,18.0
5720187,108.0
17588562,26.0
17282588,37.0
21224353,2.0
43210311,16.0
19015153,16.0
6289056,1.0
12532255,269.0
13330329,77.0
1374691,23.0
47878903,128.0
10063474,11.0
15303145,3.0
8605402,207.0
16235979,82.0
18969864,95.0
6637558,5.0
13453492,1.0
22687396,41.0
53594656,31.0
14585707,15.0
20575953,1.0
3635807,5.0
7195933,1.0
20101527,39.0
4332810,1.0
10304830,13.0
24518270,15.0
18588777,14.0
3778300,5.0
5791434,12.0
22490777,2.0
12482548,9.0
8524767,7.0
24320547,16.0
12812824,25.0
52327127,4.0
19675151,16.0
52022258,66.0
46511961,7.0
48810081,179.0
17525600,5.0
24356446,20.0
48919436,11.0
3608744,160.0
44647396,7.0
7036870,1.0
56416357,13.0
23393235,8.0
6192404,18.0
9178690,2.0
49845091,86.0
44217706,42.0
2116982,49.0
52467964,61.0
53399142,1.0
55155456,18.0
51414728,2.0
50422797,96.0
21806477,6.0
26400508,2.0
13234229,6.0
56218633,19.0
21966092,33.0
26164124,1.0
19513880,23.0
44489990,62.0
46762705,3.0
6058747,155.0
44587747,2.0
23962104,10.0
50350446,209.0
48858131,35.0
19034483,51.0
3721966,73.0
3904225,4.0
45777954,39.0
57162514,174.0
7034661,1.0
5472205,162.0
6721507,1.0
9674655,2.0
25570402,9.0
46630153,7.0
45485787,62.0
17535541,55.0
51958191,32.0
4321211,4.0
7345606,16.0
6385709,7.0
46857700,67.0
47358637,23.0
24593935,6.0
12797359,117.0
10746670,20.0
50973992,133.0
53981818,15.0
15550023,24.0
23889753,11.0
52895444,16.0
1225570,15.0
12723904,2.0
9208514,107.0
48090986,47.0
55716040,4.0
5741727,52.0
23109905,10.0
18854986,1.0
23001654,4.0
24750236,10.0
45087027,53.0
6298445,2.0
19569662,76.0
25171641,9.0
55168159,1.0
19262031,18.0
27953576,1.0
43145140,45.0
6938561,72.0
5245762,13.0
5483803,3.0
5027051,1.0
22755881,29.0
11095171,89.0
51545623,11.0
49888171,1.0
48892374,5.0
53092615,60.0
44832416,38.0
7480367,26.0
19227788,1.0
12895669,31.0
1774556,15.0
26740725,4.0
3462385,3.0
52168065,18.0
15152919,15.0
16150925,73.0
17389734,32.0
22476969,22.0
54290554,2.0
4790666,5.0
11845194,56.0
52027781,50.0
