id rent,area,availability
11026652,Bushwick,16.0
3206049,Theater District,284.0
4242232,Midtown,409.0
3736326,Bedford-Stuyvesant,293.0
2517373,Hell's Kitchen,82.0
42009479,Bedford-Stuyvesant,119.0
2071141,Carroll Gardens,12.0
50100806,Washington Heights,331.0
46950487,Highbridge,311.0
44813638,East Village,264.0
22766018,Bushwick,20.0
9293585,Lower East Side,364.0
56962029,Ditmars Steinway,212.0
15203695,East Village,191.0
29795484,Jamaica,3.0
47977840,East Elmhurst,325.0
40366726,East Village,185.0
36882876,Mill Basin,327.0
7226862,Harlem,292.0
13824637,Rego Park,157.0
10781843,Bayswater,108.0
18839521,Bushwick,67.0
43274378,Kingsbridge,363.0
24424080,East Harlem,134.0
16829149,Crown Heights,89.0
55216875,Midtown,12.0
14145759,Kips Bay,203.0
3525347,Park Slope,393.0
38657765,Bay Ridge,46.0
52883870,Harlem,146.0
4476723,Harlem,153.0
27076941,Washington Heights,142.0
53577535,East New York,107.0
54010073,Ditmars Steinway,181.0
40303197,Bushwick,149.0
27365284,Morningside Heights,331.0
46724596,Queens Village,90.0
4002534,Greenpoint,99.0
33884352,Fort Greene,148.0
10827099,Ditmars Steinway,325.0
19038349,Hell's Kitchen,337.0
48203656,Harlem,419.0
37881084,Flatbush,365.0
11492827,Jamaica,179.0
48751537,Crown Heights,371.0
43558260,Upper East Side,179.0
13417990,West Village,111.0
47360855,East Village,77.0
15378810,Highbridge,311.0
42500003,Astoria,264.0
9849573,Harlem,155.0
47036207,Chinatown,93.0
11917809,Williamsburg,312.0
54848890,Williamsburg,204.0
44371109,Queens Village,62.0
40786874,SoHo,196.0
3777983,Astoria,12.0
48851974,Nolita,61.0
57242045,Corona,242.0
20712496,Upper East Side,68.0
28214845,Harlem,234.0
34396107,Greenpoint,289.0
18901771,Bedford-Stuyvesant,62.0
13689324,Downtown Brooklyn,14.0
25593046,Brighton Beach,50.0
47035423,Hell's Kitchen,281.0
3760627,Harlem,311.0
10949789,Hell's Kitchen,329.0
17779658,Jackson Heights,126.0
19469696,Concord,359.0
49498013,Longwood,126.0
51963714,Bedford-Stuyvesant,299.0
12151788,Harlem,159.0
18582969,Upper East Side,209.0
28601826,East Harlem,67.0
50881783,Ridgewood,143.0
15531251,Upper West Side,290.0
8546306,Sunset Park,426.0
52241143,Roosevelt Island,27.0
52081354,Bedford-Stuyvesant,319.0
7859797,Greenpoint,333.0
43070129,Harlem,40.0
39381612,West Village,292.0
45265268,Holliswood,18.0
31866818,St. Albans,104.0
43537825,Astoria,172.0
47461364,Crown Heights,125.0
20921692,Bushwick,339.0
3466659,Kips Bay,81.0
26768365,East Flatbush,162.0
22986382,West Village,198.0
22941035,Financial District,334.0
45744264,Kensington,37.0
1006307,Upper West Side,375.0
48060610,Williamsburg,314.0
56654963,Chelsea,10.0
57217192,Harlem,361.0
57074698,West Village,286.0
23841150,Harlem,365.0
24703871,East Flatbush,344.0
28203649,Greenpoint,108.0
7035214,Clinton Hill,370.0
23396549,Greenpoint,95.0
37320219,Ridgewood,5.0
52591691,Park Slope,224.0
49146432,Crown Heights,218.0
39265944,Harlem,84.0
39607130,South Slope,125.0
1878941,Harlem,425.0
25915037,Bushwick,39.0
18232544,Greenpoint,14.0
10645599,Flushing,251.0
11189614,East Village,156.0
48556449,Upper West Side,294.0
45410674,South Slope,115.0
25473308,Hell's Kitchen,108.0
2630621,Chelsea,294.0
2799753,Harlem,17.0
39327574,West Village,152.0
23791443,Lower East Side,48.0
41168257,Williamsburg,266.0
12552691,Astoria,179.0
46947946,Theater District,187.0
8696532,Prospect Heights,37.0
7173841,Harlem,31.0
48019740,Murray Hill,426.0
23289955,Bushwick,168.0
9460363,East Village,399.0
23766414,Upper West Side,201.0
3735597,Bay Ridge,88.0
32524558,Clinton Hill,183.0
49770531,Prospect-Lefferts Gardens,284.0
14061574,Carroll Gardens,64.0
26574329,Fort Hamilton,158.0
11524308,Ridgewood,158.0
7859947,Brooklyn Heights,362.0
27958214,Upper East Side,310.0
48050609,Clinton Hill,31.0
7506325,East Village,2.0
33836774,Civic Center,273.0
9585183,Greenwich Village,411.0
5095132,Inwood,320.0
52685018,Chinatown,183.0
43956275,SoHo,325.0
21933506,East Harlem,334.0
9374079,Harlem,263.0
26726300,Park Slope,239.0
21417658,Crown Heights,214.0
7711296,Cobble Hill,167.0
7969705,Upper West Side,123.0
41567244,Bushwick,120.0
4581897,Upper East Side,148.0
9689606,Harlem,299.0
38077442,Astoria,28.0
18487154,Canarsie,172.0
50716870,Flushing,183.0
20203150,Bushwick,31.0
10462853,Lower East Side,11.0
54863841,Harlem,90.0
18994718,Kips Bay,55.0
48656542,Hell's Kitchen,136.0
4437747,Upper West Side,17.0
7554928,Midtown,101.0
39557460,Kensington,99.0
31894901,Tribeca,241.0
2049399,Hell's Kitchen,235.0
43890089,Flatbush,5.0
9567947,Lower East Side,197.0
3665631,Park Slope,36.0
6356062,Prospect-Lefferts Gardens,287.0
31462509,SoHo,72.0
4828287,Carroll Gardens,121.0
8535813,East Village,204.0
56626783,West Village,236.0
11072527,Harlem,36.0
44849538,Prospect Heights,80.0
46999313,Flatbush,240.0
19701208,Wakefield,47.0
6357673,Crown Heights,95.0
11806533,Woodhaven,215.0
50185308,Crown Heights,311.0
23410909,Woodhaven,360.0
54836226,Richmond Hill,162.0
32221513,Astoria,6.0
3842367,Upper West Side,143.0
13045342,Bedford-Stuyvesant,159.0
22739864,Ditmars Steinway,294.0
24063086,Hell's Kitchen,139.0
36128066,SoHo,348.0
2442839,West Village,334.0
54667482,Clinton Hill,336.0
1433787,Crown Heights,405.0
2061200,Williamsburg,244.0
15863800,Bedford-Stuyvesant,200.0
17613476,Upper West Side,289.0
32667487,Bushwick,156.0
10267273,Prospect Heights,327.0
16772843,Bedford-Stuyvesant,134.0
26130434,Upper West Side,42.0
3799757,East Village,2.0
4816072,Prospect Heights,250.0
30958156,Williamsburg,253.0
46103811,Williamsburg,79.0
27832816,Long Island City,8.0
8026040,Williamsburg,333.0
3261348,Prospect Heights,9.0
14315205,Midtown,339.0
29910505,Bedford-Stuyvesant,24.0
48249464,Williamsburg,319.0
26832959,Williamsburg,10.0
16512823,Long Island City,269.0
8615052,Fordham,266.0
19337696,Arverne,349.0
54074052,Bushwick,52.0
48218568,Harlem,211.0
48268245,East Flatbush,215.0
1864029,Harlem,78.0
43803946,West Village,225.0
18077497,Hell's Kitchen,211.0
47134955,Queens Village,125.0
18820426,Highbridge,276.0
6211360,University Heights,247.0
29047214,Midtown,144.0
38015678,Rosedale,25.0
5423139,East Harlem,225.0
3545782,Greenwich Village,54.0
34579728,Greenpoint,356.0
24885550,Bushwick,364.0
46601886,Midtown,272.0
23698563,Upper East Side,356.0
28804654,Midtown,77.0
19188023,Bedford-Stuyvesant,20.0
56935277,Flatbush,9.0
19661504,Midtown,323.0
23332482,Greenpoint,281.0
45268286,Williamsburg,173.0
20304314,Upper West Side,332.0
25308059,East Village,30.0
14525412,Chelsea,212.0
5764924,Financial District,153.0
21509892,Bay Ridge,174.0
18952191,Upper West Side,53.0
25926083,Greenpoint,27.0
2155643,Harlem,82.0
26730757,Bedford-Stuyvesant,181.0
44437684,Upper West Side,132.0
2800177,Bedford-Stuyvesant,111.0
