id,host name,price per night
40021037,Arnol,2202
51612192,Tussan,1466
50593346,Jared,834
54153495,David,2398
35398711,Janet,1332
35124935,"John, Colleen",628
49088597,Rachel,900
52561743,Sheila,1086
14797528,Wendy,2202
7697751,Ilya,558
10829706,Jose,214
18919951,Melissa,1320
16572949,Bj,1110
37460790,Ash,1536
23469061,Sara,2024
6384579,Wynpoints,716
35459183,Nina,434
38432313,Kevin,174
18707993,Lauren,664
56249538,Allegra,596
31252593,"Adi, Evangel",628
9244585,Jean,1654
39670756,Jay,2266
12887195,Erin,1696
56612464,Hank,934
29832951,Nicole,186
31976581,James,1104
49962147,Tashi,1184
38269461,Athelstan,2124
47726359,Amanda Reil,1720
10296210,John,348
9419110,Sara,1726
38459065,Roman,1274
7658240,Marie,1958
31518710,Christy,1078
35282795,Carlos,590
16607535,Yoni,2240
7355504,Anna,2330
5463509,Eliahu,934
6063908,D,258
33301452,Tomas,2372
50851570,Ben,2220
44408999,Jay,2370
13603611,Ramsay,692
29539797,Mamun,2170
32428398,Eileen,1734
16343188,Michelle,2204
25948803,Carrie,494
39468608,Peter,1120
8103828,Taylor,1956
20274289,Tracey,882
41836856,Alan,1060
10553141,Larry,758
42519646,Rachel,1800
24407486,Charles,152
33534956,Jacob,1902
20901312,Randy,120
43938371,Kraja,416
23393191,Wanhsuan,568
26724031,Shelley,1776
14303656,Earl,2112
4948449,Richard,1794
25024376,Laura,1954
20095377,David,1142
1559786,Lorna,400
55215877,Michael,388
16697116,"Anna, Ben",122
23395599,Linda,1136
40828038,Ismael,1510
53375875,Emily,2344
34340041,Carina,354
16029544,Yerddy,1674
27142360,Lolita,650
24454221,Danilo,108
32866651,Sharlene,2140
14938311,Darya,1774
33104895,Lori,816
18856116,Marcela,1500
40121691,Vanessa,934
28477811,John,1582
28119312,"Brian, Rachel",382
1380891,Sergii,2330
26409195,John,890
23401727,Bryant,1432
37373884,Jannices,1026
13626255,Harvey,612
39375385,Liana,2048
6474226,Michelle,900
27550495,Lara,2252
45714864,David,2376
52933826,Alexandra,534
28575204,Lloyd,480
30273899,"Jessy, Christian",1968
33472664,"Ron, Leetal",1234
31144573,David,2344
1974388,Miralva,196
22967286,Aaron,778
52068393,El,860
39535694,Laura,2194
4088217,"Kevin, Kitty",1974
32451398,John,986
52246443,David,250
15302056,Andrea,2338
10605137,Margaret,1238
53460497,Morgan,150
22889994,Felecia,1956
35151903,Kisha,636
12215177,Johnny,158
11842149,Nora,1190
18847284,Edmund,1048
44120227,Ania,2216
33254819,David,594
20887963,Gretchen,1706
8155507,Matt,2190
50512709,"Aponte, Tat",1448
45713771,Kledi,2202
6470674,Michelle,782
26249516,Eduardo,2356
30098966,Levi,256
23376819,Kathryn,2148
52120301,Kelly,2108
26986665,David,516
20691473,Katherine,2304
54804466,Justin,722
10378728,Marta,1582
29644059,Yoshi,1866
15972786,Forest,346
29584997,Yizak,2336
45260173,Fred,2076
43529192,Han,1770
34003472,Caitlin,1826
46421718,Jessie,1532
48588853,Brianna,226
38073489,Danni,2224
44161932,Isabelle,2116
56685526,Kim,1884
50296987,Neal,2198
15944232,Ziv,974
3515323,Quisqueya,2084
47813514,Judy,802
31830813,Rated,700
43207369,Robianddebbie,744
21081583,B.,1084
6681048,Wilson,1346
21870479,Alana,1268
46441417,Maria Fernanda,1758
7001678,Mo,818
54570521,Karen,176
10075509,John,1852
33328849,Meng,818
14009677,Jennifer,1502
23399024,Tanya,2064
20899858,Shirley,774
4390513,Luca,1480
25641540,Vh,1012
15922675,Kazuya,400
14260412,David,512
44073268,Rasul,272
47722949,Michael,2138
4848687,Shasha,1060
25525171,Ken,302
20915310,Jessie,1726
40841481,Christine,1278
46500464,Vivian,1054
38820956,Blueground,2286
5686615,Heidi,928
34800682,Gabriella,1202
34848906,Sydney,272
16804071,Janae,1838
28805836,Karen,1838
4104125,Omari,1706
27320765,David,1924
29615082,Dasha,1898
44458087,Rose,128
47199370,Art,1310
32511473,"Inese, Michæl",1590
26157005,Emily,1718
24601404,James,1594
34578984,Anna,1462
29926898,Myra,558
39995530,John,1924
40058212,Mariano,2118
42631426,Kevin,1996
56110797,Debra,1404
45053489,Sophie,1070
46868540,Mariela,1698
3853338,Michelle,1118
30680420,Cleo,2136
38353106,David,1676
50417709,Richard,252
1610074,Coco,1258
29200938,David,1956
4669426,Fowler,880
45458354,Mercedes,1566
18977401,Jeniffer,2326
51992697,Ana,1540
54490804,Clay,964
48976323,Joel,602
55740466,David,322
51122039,Amiee,258
21338247,Sofia,1656
32003423,Lucy,1970
8830040,Dixon,430
54087340,Kim,174
2835185,Michael,126
12319314,Joni,358
57246497,Candia,1590
17607619,Christine,664
22620078,Catherine,1698
28463099,Natalie,644
52528536,Wendy,2278
3145604,Lorene,1724
1428663,Maybee,300
47590854,Mungyu,1130
37400174,Christian,2240
42838471,Paula,1308
31322259,Juliana,1162
3682051,Sam,2346
47312899,Richard,2126
51546130,V.Stephan,860
30890468,Meng,1580
25993660,Ivan,786
30701336,Mark,788
26899153,Shara,1950
45676166,Tov,2052
13778157,Michelle,914
52060769,Jeannine,894
25532263,Meng,1868
3548698,Sasha,1288
53608599,David,412
4353868,Kerem,826
47058659,Chris,1772
9834264,Corporate Housing,1022
47203371,Mizue,782
50267149,Marina,1256
28173661,Zane,2240
21507470,Faye,2356
37003740,Kyle,768
2273955,Perry,2058
22747309,Lee,252
33642506,Katri,486
26515769,Diego,358
26858240,Stanley,870
33621239,Sharon,500
47903452,Adriano,716
18673604,Kara,2368
30580791,Artem,1670
10199692,Dan,1766
22758316,Joshua,1808
18168724,Leatha,146
27251966,Guelma,2310
52925567,"Blake, Madia",1578
38991151,Oscar,1500
42339186,Mike,434
7378929,Blueground,1746
45191386,Murah,1506
45238938,Mira,670
39996818,Ling,1030
57141483,D,1798
48838935,Mutale,1602
53218246,Fozia,1114
2404200,"Will, Kim",1258
4199577,Nour,2024
47648900,Adrien,2136
8348537,Aaron,1298
10367954,Leona,1220
4053808,Rani,1916
43450776,Mark,2232
17375526,Cory,2400
37670529,Landon,274
1308280,Gal,1064
17593050,Ariel,1254
31873515,Lala,1876
14884117,Alejandra,1380
38178748,Rhonda,1904
35025119,Mark,154
12575021,Justin,1178
54674181,Heejun,1538
33967367,Bryan,1284
21961777,Vero,366
42778065,Philip,506
25384694,Gino,1188
16277337,Rich,1710
31756509,Sehai,1374
41982432,Laure,2290
7040464,Youge,1722
26723086,Spencer,1094
49653419,Alicia,2260
29510066,Sarah,742
15905573,Piya,282
17533097,"Anh, David",216
16273689,Victor,2008
29376805,Sam,1186
40135747,Ezequiel,1946
2801876,Ken,1944
10432970,Remy,974
24787072,Patrick,338
40179014,Evelyn,446
9651586,Luke,1964
25433844,Diana Carolina,2068
40202129,Adrienne,914
32387647,David,1276
37360695,Marina,1884
39891452,Pablo,756
19158988,Lo,1246
45622776,Ray,592
13879173,Nabil,592
10175169,Cory,280
33148556,Anisha,1052
12036422,"Lorenzo, Alex",1912
28316807,Josh,2394
4984591,"Charlotte, Aaron",186
21709327,Jeanie,954
55580535,Charlotte,362
22275392,John,1420
51367801,Antonio,980
24704347,Sarina,2388
22926403,Stephanie,1172
28457790,Chloe,590
56012209,Pamilitta,784
48802674,Farah,1874
21971516,Maya,1110
16952163,"M, L",998
45886119,Lidia,1748
37857648,Andrew,290
54346658,Koen,676
5117260,Yana,1666
24358293,Allegra,662
31833660,Darlena,1492
19904404,Laura,810
28744560,Hakan,1788
45060545,Hannah,396
41184536,Leslie,610
10286072,Ali,1614
9166640,Cupid,1980
44643887,Chris,542
6657712,Sonder NYC,614
34108782,Shampa,170
13845730,Sonder,1282
39244063,Errol,2282
28715184,Oliver,396
36797390,Heather,1430
24006066,Mostafa,2050
15897709,Dani,1224
4606155,Andrea,1700
8335398,Jeniffer,2084
22618264,Fernando,978
26074065,Gianluca,1826
50795831,Nicola,914
23710087,Evan,716
7777989,Carlos,838
28582453,Maria,2132
15758222,Clarissa,1860
30993768,"Laura, Jake",1362
15278000,Arash,1538
46372612,Cristina,2014
29269327,Rachel,1894
45561856,Sen,2226
39597567,Niki,2380
13538431,Patrick,848
6615871,Beth,2128
42280976,Carlos,472
24741395,Ali,720
36582218,Shahar,1762
5988673,"Ronald, Cookie",1158
26349863,David,1708
20668607,Ayodele,1392
24778632,Merrily,444
43423280,Wolf,756
13103414,Liz,1726
40197727,Jesse,740
40162109,Armando,420
2662978,Jolie,1200
20044569,Joe,2018
48942757,Farhan,1042
6269166,Mukaram,366
23560889,Lidia,1690
37005113,Alice,1624
29887498,Selina,1246
47127616,Daniella,2180
10285576,Sue,1188
2870010,Keon,528
42798513,Pietro,320
23253765,Lidia,1476
11777821,Mauricio,1548
31359336,Jeniffer,1066
9025074,Antonio,2170
37565554,Danielle,946
46918722,Matthew,2230
19514455,Ricky,954
19233074,Fabio,2092
56376213,Tommy,480
14770007,Alexandra,1014
17024491,Christie,1964
51172074,Jess,936
8104342,Jolie,710
21758708,Jordan,222
4933476,Kizzie,1558
45609305,Cynthia,322
55229790,Jackie,1480
13727232,Omri,778
7777049,Lily,156
30668210,Jay,1772
2633542,"Gideon, Chantal",982
56388490,Laura,888
45041942,April,1268
19576312,Shalisa,2196
39164471,Marshall,1284
36612472,David,2172
50549939,Lorna,1938
42134046,Charles,452
43833012,Stat,2138
44479321,Kara,1278
8159866,Natassha,666
8856131,Amado,1908
39732342,Elias,1530
26111577,Brenton,672
3318973,Stanley,602
39202422,Scott,1762
39896316,Saad,898
10574151,Gillian,962
16739943,Adam,422
