id,area,pop,km2
1582356,Park Slope,150000,5
23711912,Upper West Side,210000,5
10981949,Jamaica,250000,7
7633907,Williamsburg,200000,4
54983138,Carroll Gardens,40000,2
1254842,Williamsburg,200000,4
7601321,Lower East Side,100000,3
49740706,Canarsie,120000,4
9700613,Astoria,250000,7
45590724,Hell's Kitchen,100000,3
21507130,Williamsburg,200000,4
20440639,Harlem,250000,8
49696522,Sunnyside,120000,5
47846317,Astoria,250000,7
54067977,Tompkinsville,60000,3
27418950,East New York,150000,5
5245762,Bushwick,120000,4
24688378,Chelsea,80000,3
9161016,Upper East Side,200000,6
22824918,Bedford-Stuyvesant,180000,4
21077993,Borough Park,250000,6
11408877,Upper West Side,210000,5
1545352,Harlem,250000,8
45672465,Woodside,150000,4
1548113,South Slope,100000,3
18337481,Chinatown,100000,3
14341038,Briarwood,80000,4
43691365,Fort Greene,70000,3
21179064,Lower East Side,100000,3
52018392,Harlem,250000,8
46703609,Hell's Kitchen,100000,3
2424613,Chelsea,80000,3
18884810,Harlem,250000,8
53937634,Hell's Kitchen,100000,3
3683305,West Village,100000,2
2836077,Upper West Side,210000,5
56082215,East Harlem,120000,5
9332782,Hell's Kitchen,100000,3
27764689,Financial District,40000,2
13511483,Ridgewood,100000,4
11512710,Bedford-Stuyvesant,180000,4
3283440,Chinatown,100000,3
26513178,Corona,200000,6
15379362,Highbridge,120000,4
17717248,Bedford-Stuyvesant,180000,4
49230381,Prospect Heights,90000,4
52652984,Midtown,250000,3
46293802,Mount Hope,80000,4
5533510,East Village,110000,3
45749234,Chelsea,80000,3
10109315,Tompkinsville,60000,3
52943494,Upper East Side,200000,6
2269417,Gramercy,50000,2
21172989,Borough Park,250000,6
55396811,Crown Heights,200000,5
46426354,Bedford-Stuyvesant,180000,4
48569278,Hell's Kitchen,100000,3
1860715,Prospect-Lefferts Gardens,80000,4
53775258,Norwood,100000,4
48223538,Chelsea,80000,3
21509892,Bay Ridge,200000,5
11395622,Bushwick,120000,4
45928732,East New York,150000,5
51455046,Upper East Side,200000,6
17657047,Sunset Park,250000,6
3502703,Williamsburg,200000,4
23058541,Flushing,200000,7
50041158,Greenwich Village,150000,3
22615044,Crown Heights,200000,5
25663188,Sheepshead Bay,100000,3
3943990,Upper East Side,200000,6
7541120,South Slope,100000,3
23231411,Chelsea,80000,3
2163375,Upper West Side,210000,5
8969920,Williamsburg,200000,4
52799344,Upper West Side,210000,5
26108894,Harlem,250000,8
7668149,Prospect-Lefferts Gardens,80000,4
11721479,Williamsburg,200000,4
55974517,Forest Hills,180000,6
1988296,Crown Heights,200000,5
46989148,Williamsburg,200000,4
17418454,Long Island City,180000,6
44282878,Gramercy,50000,2
42833090,East Flatbush,120000,5
4311270,Upper West Side,210000,5
5774865,Williamsburg,200000,4
6461374,Upper West Side,210000,5
19825929,Washington Heights,170000,6
4628290,Williamsburg,200000,4
5824572,Williamsburg,200000,4
6687817,Williamsburg,200000,4
51645589,Williamsburg,200000,4
5092774,Bedford-Stuyvesant,180000,4
52462993,Midtown,250000,3
7382058,Harlem,250000,8
14964032,Ditmars Steinway,80000,4
7073322,Upper East Side,200000,6
53137351,Williamsburg,200000,4
17198638,Upper East Side,200000,6
17376479,Jamaica,250000,7
5573275,Hell's Kitchen,100000,3
22862475,Hell's Kitchen,100000,3
9879559,Hell's Kitchen,100000,3
49922965,Chelsea,80000,3
4009714,Williamsburg,200000,4
18130921,Mott Haven,80000,3
48959754,Bushwick,120000,4
17236747,Fordham,200000,7
15557755,Nolita,40000,2
20705743,Fort Greene,70000,3
7969705,Upper West Side,210000,5
50492939,Windsor Terrace,30000,2
43704067,Greenwich Village,150000,3
20445610,Williamsburg,200000,4
48338417,East New York,150000,5
24324965,Hell's Kitchen,100000,3
9115728,Boerum Hill,50000,2
9940864,Brooklyn Heights,100000,3
56556088,Prospect-Lefferts Gardens,80000,4
55564158,Chelsea,80000,3
56365545,Harlem,250000,8
18922919,Greenpoint,30000,2
54984795,Bedford-Stuyvesant,180000,4
53675844,Prospect-Lefferts Gardens,80000,4
54223726,Upper East Side,200000,6
46569400,Bedford-Stuyvesant,180000,4
48239003,Bedford-Stuyvesant,180000,4
25322419,Gowanus,40000,2
18782635,Greenpoint,30000,2
46663291,East Village,110000,3
3614820,Chelsea,80000,3
1704966,Financial District,40000,2
11542534,Harlem,250000,8
15093823,Fort Greene,70000,3
17694604,Lower East Side,100000,3
3108913,Rego Park,150000,4
48150635,Chinatown,100000,3
14797238,Flatlands,50000,3
57131585,East New York,150000,5
1649736,Williamsburg,200000,4
15894658,Flushing,200000,7
8130977,Kips Bay,50000,2
24560245,Chelsea,80000,3
26304408,Midtown,250000,3
2636144,Nolita,40000,2
43881908,Bedford-Stuyvesant,180000,4
11008460,Ditmars Steinway,80000,4
11487856,West Brighton,150000,5
43341206,Bedford-Stuyvesant,180000,4
45008600,Bushwick,120000,4
53973534,East Village,110000,3
6705490,Financial District,40000,2
44476735,St. George,150000,5
23243009,Harlem,250000,8
24327174,Upper East Side,200000,6
9256012,Harlem,250000,8
46884763,Upper East Side,200000,6
5159603,Bedford-Stuyvesant,180000,4
20284338,Bedford-Stuyvesant,180000,4
57222715,Williamsburg,200000,4
55432710,Laurelton,120000,5
55698367,Bedford-Stuyvesant,180000,4
54551239,Chelsea,80000,3
6693892,Fort Greene,70000,3
55739237,East Harlem,120000,5
20980236,Long Island City,180000,6
8392215,Midtown,250000,3
55883939,Bushwick,120000,4
3953932,Columbia St,50000,2
9845316,Bushwick,120000,4
52518775,Jamaica,250000,7
2889650,Flatbush,180000,5
5207653,Upper West Side,210000,5
8674992,Hell's Kitchen,100000,3
9562538,Morningside Heights,150000,5
21954493,Bedford-Stuyvesant,180000,4
53919408,Gowanus,40000,2
18579388,South Ozone Park,150000,6
19169797,Clinton Hill,50000,3
52393403,Briarwood,80000,4
15123095,Harlem,250000,8
55182518,Greenpoint,30000,2
52457470,Sunnyside,120000,5
3906986,Mott Haven,80000,3
3635255,Williamsburg,200000,4
7265523,East Village,110000,3
7518476,East Village,110000,3
13947248,West Village,100000,2
47675104,Long Island City,180000,6
22300786,Prospect-Lefferts Gardens,80000,4
19880055,Williamsburg,200000,4
7618995,Williamsburg,200000,4
25594703,Crown Heights,200000,5
1206792,Greenpoint,30000,2
3734669,Lower East Side,100000,3
46907407,Harlem,250000,8
14291331,Prospect-Lefferts Gardens,80000,4
10902418,Hell's Kitchen,100000,3
5932270,Williamsburg,200000,4
7137389,Brooklyn Heights,100000,3
44064167,Bedford-Stuyvesant,180000,4
25316896,Bushwick,120000,4
46547308,Flatbush,180000,5
7527865,Upper East Side,200000,6
51214795,East Flatbush,120000,5
46724596,Queens Village,120000,4
25578134,Longwood,120000,4
47387356,Flushing,200000,7
7160586,Crown Heights,200000,5
42864019,Upper West Side,210000,5
25192628,Washington Heights,170000,6
55106853,Midtown,250000,3
53738254,Williamsburg,200000,4
24315576,Chelsea,80000,3
55260393,Hell's Kitchen,100000,3
48266065,Williamsburg,200000,4
8734088,Windsor Terrace,30000,2
11655203,Bedford-Stuyvesant,180000,4
26489981,Hell's Kitchen,100000,3
14406209,Rockaway Beach,60000,3
54212680,Harlem,250000,8
17267123,Williamsburg,200000,4
18341347,Williamsburg,200000,4
20515200,Bushwick,120000,4
24179710,East New York,150000,5
45042290,Harlem,250000,8
1971727,Greenwich Village,150000,3
4020760,Clason Point,80000,4
52552466,Chelsea,80000,3
21182930,Morningside Heights,150000,5
4537161,Fort Greene,70000,3
23140282,Long Island City,180000,6
54801984,Bedford-Stuyvesant,180000,4
44275698,Fordham,200000,7
23492097,Forest Hills,180000,6
10344043,Upper West Side,210000,5
27395201,Briarwood,80000,4
53490823,Williamsburg,200000,4
13882077,Williamsburg,200000,4
52808181,South Ozone Park,150000,6
3797631,Windsor Terrace,30000,2
47762368,Bushwick,120000,4
4842583,Bedford-Stuyvesant,180000,4
14370310,East Harlem,120000,5
47957330,Midtown,250000,3
17642135,Upper East Side,200000,6
50611131,Woodside,150000,4
7071665,Gramercy,50000,2
15234107,Midtown,250000,3
9766337,Flatbush,180000,5
10353432,Morningside Heights,150000,5
15808499,Gowanus,40000,2
52684465,Harlem,250000,8
23066273,Harlem,250000,8
2805148,Greenpoint,30000,2
55645898,Upper West Side,210000,5
6810980,Lower East Side,100000,3
11022267,Upper West Side,210000,5
9294673,Hell's Kitchen,100000,3
15229689,Greenwich Village,150000,3
2036346,Upper West Side,210000,5
22196401,Elmhurst,120000,5
12797912,Harlem,250000,8
1930857,Flatbush,180000,5
18023222,Kingsbridge,50000,3
3081298,Harlem,250000,8
24783926,Bushwick,120000,4
25065599,Harlem,250000,8
4545997,Lower East Side,100000,3
3374017,Hell's Kitchen,100000,3
51839446,Middle Village,120000,5
53588581,East Village,110000,3
44797069,East Harlem,120000,5
55984458,Rego Park,150000,4
48282634,Crown Heights,200000,5
18055808,Bedford-Stuyvesant,180000,4
13287802,Upper East Side,200000,6
21560704,Bushwick,120000,4
2571525,East Village,110000,3
45394658,Bushwick,120000,4
12307469,Hell's Kitchen,100000,3
14891681,Bronxdale,250000,6
12565393,Flatbush,180000,5
11638634,Harlem,250000,8
56813460,Flushing,200000,7
51652217,Brighton Beach,120000,5
21069157,Pelham Bay,200000,7
51962057,Upper East Side,200000,6
25334569,Harlem,250000,8
54602051,Washington Heights,170000,6
55632091,East New York,150000,5
1841384,Upper West Side,210000,5
53075494,Upper East Side,200000,6
24180815,East New York,150000,5
4523905,Hell's Kitchen,100000,3
23823477,Williamsburg,200000,4
48293680,Chelsea,80000,3
5283318,East Village,110000,3
2707391,Harlem,250000,8
47553046,Harlem,250000,8
6881674,Fort Greene,70000,3
21227114,Fordham,200000,7
19252642,Flatbush,180000,5
43163366,Williamsburg,200000,4
47746903,Fort Greene,70000,3
19834766,Bedford-Stuyvesant,180000,4
1288532,Hell's Kitchen,100000,3
18753915,Prospect-Lefferts Gardens,80000,4
48880775,East Village,110000,3
2474872,Prospect-Lefferts Gardens,80000,4
19533210,Allerton,60000,4
54710854,Bedford-Stuyvesant,180000,4
11720374,East Village,110000,3
43125257,St. Albans,70000,3
2590855,Park Slope,150000,5
50126764,Bedford-Stuyvesant,180000,4
23460616,Washington Heights,170000,6
52526508,Flushing,200000,7
4242785,Clason Point,80000,4
9257116,Inwood,60000,2
19399001,Upper West Side,210000,5
12201428,Sunnyside,120000,5
46314237,Columbia St,50000,2
46951591,Washington Heights,170000,6
47540896,Lower East Side,100000,3
4261563,Long Island City,180000,6
15980817,East Harlem,120000,5
56253428,Midtown,250000,3
13307685,Edenwald,100000,4
1787259,Crown Heights,200000,5
21637473,Williamsburg,200000,4
2261132,Harlem,250000,8
2635592,Harlem,250000,8
20502497,Hell's Kitchen,100000,3
56732272,Midtown,250000,3
49465109,Hell's Kitchen,100000,3
26732993,Harlem,250000,8
49367904,Upper West Side,210000,5
44671145,Bedford-Stuyvesant,180000,4
10076730,Ridgewood,100000,4
13599299,Crown Heights,200000,5
6124471,East Village,110000,3
26139271,Jamaica,250000,7
48711219,Bedford-Stuyvesant,180000,4
20379886,Cobble Hill,60000,2
49113294,South Slope,100000,3
18836760,Sunnyside,120000,5
14330544,Upper East Side,200000,6
14964585,Bedford-Stuyvesant,180000,4
49293896,Inwood,60000,2
49988137,Bedford-Stuyvesant,180000,4
55830366,Midtown,250000,3
20673157,Crown Heights,200000,5
26879353,Bedford-Stuyvesant,180000,4
54147508,Port Richmond,30000,2
16044883,Harlem,250000,8
3636912,Crown Heights,200000,5
1493988,Williamsburg,200000,4
47933581,Bushwick,120000,4
11282953,Bushwick,120000,4
19625997,Carroll Gardens,40000,2
13922395,Washington Heights,170000,6
50015752,Nolita,40000,2
6353675,East Flatbush,120000,5
55426083,Bedford-Stuyvesant,180000,4
42967852,Kingsbridge,50000,3
10932795,East Harlem,120000,5
26267956,Rego Park,150000,4
7368803,Canarsie,120000,4
44515396,Washington Heights,170000,6
27500138,Bedford-Stuyvesant,180000,4
6284086,Upper West Side,210000,5
44541907,Crown Heights,200000,5
16282372,Williamsburg,200000,4
9482455,Windsor Terrace,30000,2
13441894,Flushing,200000,7
15541186,Bedford-Stuyvesant,180000,4
46021518,Crown Heights,200000,5
2730035,East Village,110000,3
49762246,Bedford-Stuyvesant,180000,4
48664826,Harlem,250000,8
51762124,Bayside,120000,4
4586315,Williamsburg,200000,4
11736943,Nolita,40000,2
54574436,Williamsburg,200000,4
21310512,Upper West Side,210000,5
48401379,East Village,110000,3
46104916,Boerum Hill,50000,2
56411938,Chelsea,80000,3
19500072,Clinton Hill,50000,3
52569587,Nolita,40000,2
23787577,Crown Heights,200000,5
24275258,Bedford-Stuyvesant,180000,4
54133148,Windsor Terrace,30000,2
53089301,East New York,150000,5
57259166,Washington Heights,170000,6
24688931,East Harlem,120000,5
11686684,Corona,200000,6
16459661,Financial District,40000,2
54371742,Gowanus,40000,2
23541251,Cobble Hill,60000,2
18456778,Bedford-Stuyvesant,180000,4
44898692,Flushing,200000,7
56798548,Harlem,250000,8
12987351,Harlem,250000,8
10291022,Downtown Brooklyn,150000,5
18195540,Midtown,250000,3
26649043,Rockaway Beach,60000,3
19553645,Jackson Heights,180000,5
3784376,East Harlem,120000,5
52165856,Harlem,250000,8
6542562,East Village,110000,3
51994643,Fordham,200000,7
17200295,Inwood,60000,2
24370254,Stuyvesant Town,150000,5
42919249,SoHo,120000,4
18410937,East Harlem,120000,5
16586137,Bedford-Stuyvesant,180000,4
16245368,Harlem,250000,8
24248748,Upper West Side,210000,5
4425044,Rego Park,150000,4
2094890,Bedford-Stuyvesant,180000,4
46988596,Bushwick,120000,4
