id,name,host name,borough,construction year,house rules,room type,price,minimum nights,last booking
1001254,Clean & quiet apt home by the park,Madaline,Brooklyn,2020,Clean up and treat the home the way you'd like your home to be treated.  No smoking.,Private room,966,10,2021-10-19 00:00:27
1002102,Skylit Midtown Castle,Jenna,Manhattan,2007,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,Entire home/apt,142,30,2022-05-21 11:43:51
1003689,Entire Apt: Spacious Studio/Loft by central park,Lyndon,Manhattan,2009,"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house.",Entire home/apt,204,10,2018-11-19 16:18:12
1004098,Large Cozy 1 BR Apartment In Midtown East,Michelle,Manhattan,2013,"No smoking, please, and no drugs.",Entire home/apt,577,3,2019-06-22 12:48:16
1005202,BlissArtsSpace!,Emma,Brooklyn,2009,"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun – Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS – Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING – Parking is available on street at all times.   5.SHOES – When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr",Private room,1060,45,2017-10-05 09:43:56
1005754,Large Furnished Room Near B'way,Evelyn,Manhattan,2005,"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***",Private room,1018,2,2019-06-24 16:00:10
1006307,Cozy Clean Guest Room - Family Apt,Carl,Manhattan,2015,"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed",Private room,291,2,2017-07-21 09:43:20
1007411,Beautiful 1br on Upper West Side,Alan,Manhattan,2008,"My ideal guests would be warm, friendly, and respectful of sharing my home and it's rhythms. I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",Entire home/apt,606,5,2019-06-22 21:15:41
1012934,Sweet and Spacious Brooklyn Loft,Alissa,Brooklyn,2016,"- No smoking or open flames on the property - Please respect the peace and privacy of our neighbors  - Access Roslindale Urban Wild from street - do not jump backyard fence - Max of 3 occupants, please!",Entire home/apt,477,3,2021-12-28 03:59:23
1013487,CBG CtyBGd HelpsHaiti rm#1:1-4,Mary,Brooklyn,2013,"Arrival time can be no later than 10:00PM. No visitors allowed at anytime without prior approval. Overnight guests are only allowed as part of the reservation. Never more than 2 people in this room.  No smoking. 11:00 PM is quiet time while watching private room tv is acceptable. No eating meals in the room. It's too small, you'll see what I'm saying, and there's a nice dining table for that. Small snacks are fine. If you cook and/or uses dishes and utensils then please clean them so someone else can use them. Do not leave anything uncleaned in the sink overnight. Shared areas of the home are expected to be maintained after you use them. There are no room services provided other than normal cleaning. Closet and dresser space is provided for your clothes.",Private room,133,2,2019-07-01 06:14:17
1014591,CBG Helps Haiti Rm #2,Charlotte,Brooklyn,2005,We take great care of our home and expect you to do the same.  Smoking is not permitted anywhere on the property.,Private room,816,2,2019-07-02 02:32:07
1016800,Midtown Pied-a-terre,Andrew,Manhattan,2016,"Please no pets or smoking in the house, though you can go out on a private porch if you must indulge. Feel free to bring food and cook...I love it when guests prepare a meal.   Quiet hours 9PM to 6AM. ",Entire home/apt,209,10,2017-08-13 10:50:21
1017353,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Daryl,Manhattan,2021,"My ideal guests would be warm, friendly, and respectful of sharing my home and it's rhythms. I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",Private room,432,3,2019-06-15 08:27:11
1017905,Modern 1 BR / NYC / EAST VILLAGE,Tyler,Manhattan,2010,"Just be respectful, clean, and quiet after 10:00PM!",Entire home/apt,666,14,2019-04-19 07:20:27
1018457,front room/double bed,Byron,Manhattan,2004,"No loud noises or loud music. Please help us save the planet by shutting off all the lights when they are not needed. Make sure the coffee maker, toaster and other appliance are off when you leave every morning.  No pets. Remove your shoes and keep them inside the apartment. ABSOLUTELY NO SMOKING is allowed in the house. It is only allowed in the rear part of the building. No wild parties, this is a quiet building. All dishes should ne washed after used. All garbage should be taken out and put in the trash cans in the back porch. And last and not least, ENJOY YOUR STAY WITH US!!",Private room,770,3,2019-06-01 18:03:36
1019562,Loft in Williamsburg Area w/ Roof,John,Brooklyn,2007,"LAUNDRY - Laundry can be done by the visitor before 10 pm, preferably on weekends. - Please provide your own detergent and fabric conditioner. Keep the machine clean and remember to clean the filter before and after use. - Please ask hosts to teach you how to operate the machines if you are not familiar with it. - Please limit your load and washes as not to overload the machine. - One wash per week will be ideal. HOUSEKEEPING - The bedrooms shall be kept clean and tidy by the visitor. - Please be respectful of others and keep the bathroom clean – do not leave dirty clothes and trash lying around. - Each visitor is responsible for cleaning their own dirty dishes and throwing their own trash in the garbage bin outside. - Please provide your own toiletries such as bath soap, shampoo and toothpaste.  KITCHEN USE  - We are sharing our kitchen and kitchenware stuff. Please make sure to take care of them and make sure you clean, dry and put them back where you found them. If you are cooking, ",Private room,858,4,2019-06-15 07:40:19
1020114,back room/bunk beds,Alfred,Manhattan,2021,Please no smoking on the property,Private room,545,3,2019-07-01 03:13:04
1020667,Large B&B Style rooms,Jared,Brooklyn,2016,"No smoking, this is non-negotiable.  No illegal drug use and we make no exceptions.  We do not allow additional guests or parties.  We expect respectful behavior, particularly late at night. We can allow friendly, house- trained dogs.  We have a dog of our own, so its important that your dog be under your charge at all times.  You may not leave your dog in the apartment alone.  You will be responsible for any damage pets may incur, including paying for cleaning of carpets should they be soiled.",Private room,191,1,2019-05-12 03:24:12
1022323,Cute apt in artist's home,Joyce,Brooklyn,2005,"Please no shoes inside the house and no  smoking (cigarettes or anything else) either in or outside. Please be respectful of neighbors in the evening and early morning (10pm-7am). When you leave at the end of your stay, please take your trash outside to the large garbage bin at the end of the driveway.",Entire home/apt,1097,2,2019-06-22 19:21:12
1024533,Beautiful Sunny Park Slope Brooklyn,Alina,Brooklyn,2020,"No smoking inside. Since I have a dog, there are no other pets allowed.",Entire home/apt,370,3,2019-05-27 20:00:24
1025637,West Side Retreat,Alford,Manhattan,2017,"Free WiFi! * No smoking anywhere on property. *No out-door shoes to be worn in the house. We ask that guests be willing to be considerate and quiet while coming and going from 10 pm to 6 am, please. This is a non-smoking property. There is no smoking anywhere on the property, inside nor on the porch. We also ask guests to bring inside shoes/slippers. Thank you. As this is our home, we request you not to move the furniture nor our belongings around and to treat our home as you would wish your home to be treated. Thank you.",Private room,856,4,2019-06-16 13:01:25
1026190,BEST BET IN HARLEM,Chester,Manhattan,2006,- Quiet hours between 10pm-6am - Visitors in common spaces only,Entire home/apt,62,7,2019-06-13 06:37:11
1060432,Large 2 Bedroom Great for Groups!,Tess,Brooklyn,2016,"- Thanks for not smoking and leaving your pets at home! Thanks for keeping the house locked. Thanks for not throwing big parties, small dinner parties or bbq is fine. And... all of the usual stuff that is just good common sense like returning the apartment to the way it looked when you arrived.  At the end of your stay, please strip the beds and put the sheets on the floor next to stairs. Towels can be put with the sheets. Trash and recycling pick up is on Thursday mornings. If you are staying through a Thursday, please put your garbage and recycling outside in the appropriate barrels Wednesday night or by 7:00 am on Thursdays. THANKS!",Entire home/apt,500,90,2019-06-28 11:36:54
1060984,"Modern Brooklyn Apt., August sublet",Ned,Brooklyn,2017,"This is a pretty quiet house in a residential neighborhood, so please be respectful of noise. No overnight guests without prior arrangements being made.",Entire home/apt,589,30,2018-05-26 03:20:26
1061537,"1,800 sq foot in luxury building",Emma,Manhattan,2005,"No smoking, drugs, loud volume, loud partying please. No outdoor shoes inside the house please, indoor slippers are provided. I don't charge cleaning fee so please help me keep the place clean and organized by cleaning up after yourself, thank you.",Private room,839,2,2019-06-23 14:11:45
1062089,Sunny 2-story Brooklyn townhouse w deck and garden,Alen,Brooklyn,2011,We ask that guest DO NOT host any additional guest. NO partying or loud music.  Please DO NOT interact with other tenants on property.  There is ABSOLUTELY NO smoking allowed on the property. NO pets allowed. ,Entire home/apt,528,30,2017-03-17 11:08:43
1062641,"Times Square, Safe, Clean and Cozy!",Kevin,Manhattan,2014,You will be very comfortable in our home but we ask that guests are respectful of the artwork that we have as we want to keep the place a fun place to hang out!  Please no smoking.,Private room,66,2,2019-06-16 18:51:50
1063194,"Cozy Room #3, Landmark Home 1 Block to PRATT",Miller,Brooklyn,2014,"No smoking in the apartment, even with the windows open. No excessive cologne/perfume. Please take off your shoes on the landing and don't wear any outdoor shoes inside. No food in the bedrooms, please. No food or drinks in the music room. Be considerate of the neighbors; no excessive noise, and keep quiet after 9pm. Please tell me if anything gets broken in the apartment. Talk to me first if you want to hold Yggy. Don't open the terrarium before we talk. No overnight guests without clearing with me first.",Private room,761,2,2019-06-02 20:13:24
1069821,East Village Sanctuary,Jasmine,Manhattan,2013,Please be respectful of my things! I have a lot of stuff that I have collected over the years. Absolutely NO smoking and NO parties  This is a really relaxing space and the neighbors are all really cool.  -Pets are allowed -Please clean after yourself and dispose of the trash properly,Entire home/apt,1105,4,2021-12-10 11:30:05
1070374,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Robert,Brooklyn,2015,"This room is the perfect fit for you if you're looking for a cheap and quick few night stay! The house is laid back - smoking is allowed on the back porch, you will have access to use our refrigerator - but please bring your own food, towels will be provided, the kitchen is stocked with appliances as well. Because the space is shared with other roommates expect you may see them and keep noise and interaction to a respectful level :)",Private room,1109,2,2018-10-05 05:10:30
